codigo,municipio,pib_mil_reais
1501782,Breu Branco - PA,793768
1501808,Breves - PA,892630
1501907,Bujaru - PA,536456
1501956,Cachoeira do Piriá - PA,227354
1502004,Cachoeira do Arari - PA,255901
1502103,Cametá - PA,1392449
1502152,Canaã dos Carajás - PA,34987915
1502202,Capanema - PA,1426639
1502301,Capitão Poço - PA,615256
1502400,Castanhal - PA,4707381
1502509,Chaves - PA,247974
1502608,Colares - PA,100826
1502707,Conceição do Araguaia - PA,662415
1502756,Concórdia do Pará - PA,419795
1502764,Cumaru do Norte - PA,406772
1502772,Curionópolis - PA,3666991
1502806,Curralinho - PA,282042
1502855,Curuá - PA,149514
1502905,Curuçá - PA,369391
1502939,Dom Eliseu - PA,940080
1502954,Eldorado do Carajás - PA,555637
1503002,Faro - PA,76574
1503044,Floresta do Araguaia - PA,602377
1503077,Garrafão do Norte - PA,275694
1503093,Goianésia do Pará - PA,506230
1503101,Gurupá - PA,333716
1503200,Igarapé-Açu - PA,415581
1503309,Igarapé-Miri - PA,690510
1503408,Inhangapi - PA,174530
1503457,Ipixuna do Pará - PA,624646
1503507,Irituia - PA,277699
1503606,Itaituba - PA,3077344
1503705,Itupiranga - PA,841410
1503754,Jacareacanga - PA,625353
1503804,Jacundá - PA,615189
1503903,Juruti - PA,1450846
1504000,Limoeiro do Ajuru - PA,502725
1504059,Mãe do Rio - PA,339947
1504109,Magalhães Barata - PA,98319
1504208,Marabá - PA,13519525
1504307,Maracanã - PA,289582
1504406,Marapanim - PA,263294
1504422,Marituba - PA,2577121
1504455,Medicilândia - PA,1023645
1504505,Melgaço - PA,216421
1504604,Mocajuba - PA,451566
1504703,Moju - PA,1333107
1504752,Mojuí dos Campos - PA,288393
1504802,Monte Alegre - PA,806682
1504901,Muaná - PA,338390
1504950,Nova Esperança do Piriá - PA,350593
1504976,Nova Ipixuna - PA,192412
1505007,Nova Timboteua - PA,147341
1505031,Novo Progresso - PA,971105
1505064,Novo Repartimento - PA,1116164
1505106,Óbidos - PA,965319
1505205,Oeiras do Pará - PA,418634
1505304,Oriximiná - PA,2277390
1505403,Ourém - PA,200487
1505437,Ourilândia do Norte - PA,1301994
1505486,Pacajá - PA,867036
1505494,Palestina do Pará - PA,98673
1505502,Paragominas - PA,4279105
1505536,Parauapebas - PA,49756255
1505551,Pau D'Arco - PA,114746
1505601,Peixe-Boi - PA,72240
1505635,Piçarra - PA,292566
1505650,Placas - PA,322977
1505700,Ponta de Pedras - PA,274903
1505809,Portel - PA,944900
